OverallQual,GrLivArea,GarageCars,TotalBsmtSF,YearBuilt,FullBath,1stFlrSF,TotRmsAbvGrd,SalePrice
7,1452,2,691,1999,2,713,6,183900
7,1889,1,925,1910,1,964,9,122000
9,2018,3,2002,2008,2,2018,10,378500
8,3447,3,728,1935,3,1968,11,381000
5,1524,1,874,1958,1,874,7,144000
7,1524,2,1332,1979,0,1332,4,260000
6,1489,2,1489,1968,2,1489,7,185750
5,935,1,935,1965,1,935,5,137000
6,1357,1,1019,1959,1,1357,5,177000
5,1250,2,661,1910,2,661,8,139000
5,1920,2,928,1948,2,928,10,137000
6,1395,2,723,1972,1,735,6,162000
6,1724,2,1680,1967,1,1724,7,197900
8,2031,2,1128,2002,2,1128,7,237000
4,1128,2,698,1920,1,698,6,68400
7,1573,2,1573,2002,2,1573,6,227000
7,1339,2,1309,1990,2,1339,6,180000
5,1040,2,1040,1977,2,1040,5,150500
6,1824,0,912,1971,2,912,8,139000
6,2447,1,804,1919,2,1699,10,169000
6,1412,1,780,1939,1,825,6,132500
6,1328,2,1328,1963,1,1328,6,143000
5,1582,2,1624,1964,2,1582,7,190000
8,1659,2,1501,2000,2,1659,5,278000
8,1970,3,1085,2006,2,1120,8,281000
5,1152,2,1152,1964,1,1152,6,180500
5,1302,1,630,1972,2,630,6,119500
5,2372,1,994,1892,2,1378,11,107500
7,1664,2,832,1976,2,832,8,162900
5,864,2,864,1955,1,864,5,115000
5,1052,1,1052,1968,1,1052,5,138500
5,1128,2,1120,1963,2,1128,6,155000
6,1072,2,547,2005,2,1072,5,140000
10,5642,2,6110,2008,2,4692,12,160000
5,1246,1,1246,1959,1,1246,6,154000
7,1983,2,978,1999,2,1005,9,225000
6,1494,1,771,1942,1,753,7,177500
8,2526,3,1165,1994,2,1203,8,290000
7,1616,3,1616,2005,2,1616,7,232000
7,1708,2,976,2004,2,976,7,130000
9,1652,2,1652,2006,2,1652,6,325000
7,1368,2,1368,2005,2,1368,6,202500
5,990,2,990,1994,1,990,5,138000
5,1122,2,924,1948,1,1122,6,147000
6,1294,2,1278,1991,2,1294,6,179200
7,1902,2,1902,1959,2,1902,7,335000
7,1274,2,1274,2005,2,1274,6,203000
8,2810,2,1453,1990,2,1453,9,302000
9,2599,3,1393,1999,2,1422,10,333168
4,948,1,948,1954,1,948,5,119000
6,2112,2,952,1969,2,1092,9,206900
8,1630,3,1622,2008,2,1630,8,295493
7,1352,2,1352,2006,2,1352,5,208900
8,1787,3,1753,2001,2,1787,7,275000
4,948,1,864,1954,1,948,5,111000
6,1478,2,1478,1957,1,1478,6,156500
3,720,1,0,1949,1,720,4,72500
7,1923,2,750,1992,2,1061,8,190000
4,708,0,420,1940,1,708,5,82500
8,1795,3,1795,2006,2,1795,7,147000
4,796,0,796,1922,1,796,5,55000
3,774,0,544,1931,1,774,6,79000
5,816,1,816,1982,1,816,5,130500
6,2792,2,1510,1920,2,1584,8,256000
7,1632,2,935,1998,2,955,8,176500
8,1588,3,1588,2006,2,1588,7,227000
5,954,2,911,1976,1,954,6,132500
4,816,1,816,1938,1,816,3,100000
5,1360,1,803,1938,1,803,6,125500
5,1365,2,765,1970,1,765,7,125000
6,1334,2,1350,1977,2,1334,6,167900
5,1656,2,1656,1973,2,1656,8,135000
4,693,0,693,1941,1,693,4,52500
7,1861,2,916,2002,2,920,8,200000
5,864,1,864,1972,1,864,5,128500
4,872,4,858,1971,1,872,5,123000
6,1114,2,1114,2003,1,1114,6,155000
8,2169,2,1284,2002,2,1284,7,228500
6,1913,2,896,1928,1,1172,9,177000
7,1456,2,728,2006,2,728,8,155835
4,960,1,960,1920,1,960,5,108500
7,2156,2,1568,1968,2,2156,9,262500
8,1776,3,1732,2006,2,1776,7,283463
7,1494,2,1482,1998,2,1494,5,215000
8,2358,0,684,1872,2,938,8,122000
5,2634,4,1248,1969,2,1338,12,200000
6,1716,2,858,1962,1,858,8,171000
6,1176,2,698,1937,1,786,4,134900
8,3238,3,2033,1995,2,2053,9,410000
7,1865,3,992,2000,2,992,7,235000
7,1920,2,570,1968,3,1222,8,170000
5,892,1,864,1966,1,892,5,110000
5,1078,2,1078,1971,1,1078,6,149900
6,1573,2,756,2000,2,769,5,177500
9,1980,3,1980,2004,2,1980,8,315000
5,2601,2,612,1921,3,990,8,189000
7,1530,2,1530,2005,2,1530,7,260000
4,1738,1,715,1920,2,1281,7,104900
6,1412,2,616,2006,2,616,6,156932
7,1200,2,600,2005,2,520,4,144152
7,1674,2,814,2000,2,814,7,216000
7,1790,2,873,1999,2,882,7,193000
5,1475,1,757,1977,2,925,6,127000
6,848,2,848,2003,1,848,4,144000
8,1668,2,1657,2003,2,1668,8,232000
4,1374,1,840,1920,1,840,6,105000
6,1661,1,992,1955,1,1661,8,165500
7,2097,2,1108,1998,2,1108,8,274300
10,2633,3,2633,2001,2,2633,8,466500
7,1958,3,1026,2005,2,1026,9,250000
8,1571,3,1571,2007,2,1571,7,239000
6,790,1,768,1930,1,790,4,91000
5,1604,2,984,1941,2,984,6,117000
6,987,1,483,1973,1,483,5,83000
5,1394,2,384,2006,2,754,7,167500
3,864,1,864,1914,1,864,5,58500
6,2117,2,1205,1970,2,2117,7,237500
7,1762,2,596,1920,1,998,8,157000
5,1416,2,816,1918,2,1416,7,112000
6,1258,1,560,1939,1,698,6,105000
4,1154,1,796,1922,1,796,7,125500
7,2784,2,1392,1978,3,1392,12,250000
6,2526,1,714,1916,2,1664,10,136000
9,1746,3,1746,2006,2,1746,7,377500
6,1218,2,735,1941,1,869,6,131000
7,1525,2,1525,2000,2,1525,6,235000
5,1584,3,1584,1967,2,1584,8,124000
5,900,1,864,1967,1,900,6,123000
6,1912,2,482,1905,2,1221,7,163000
7,1500,3,1356,2006,2,1500,6,246578
8,2482,3,1094,2005,2,1133,9,281213
5,1687,2,747,1948,1,1687,7,160000
5,1513,1,939,1920,1,939,8,137500
5,1904,1,1208,1950,1,1136,7,138000
6,1608,1,976,1925,2,1160,7,137450
6,1158,1,862,1929,1,950,5,120000
6,1593,2,839,2004,2,864,8,193000
7,1294,2,1286,2006,2,1294,6,193879
8,1464,3,1485,2007,2,1464,6,282922
3,1214,3,672,1915,1,694,6,105000
8,1646,2,1594,2004,2,1646,5,275000
5,768,2,768,1972,1,768,5,133000
5,833,0,833,1985,1,833,5,112000
4,1363,2,622,1910,1,741,6,125500
7,2093,2,791,1986,2,1236,7,215000
7,1840,2,944,2001,2,944,6,230000
6,1668,1,856,1950,1,1112,6,140000
4,1040,2,0,1949,2,1040,6,90000
8,1844,2,1844,2005,2,1844,7,257000
6,1848,2,833,1923,1,1053,8,207000
7,1569,3,1386,2007,2,1569,7,175900
4,2290,2,777,1885,2,1246,11,122500
8,2450,3,1284,1998,2,1310,7,340000
5,1144,1,1144,1963,1,1144,6,124000
6,1844,2,1844,1969,2,1844,7,223000
6,1416,2,708,1968,2,708,7,179900
6,1069,2,1069,1977,2,1069,4,127500
6,848,2,848,2003,1,848,3,136500
6,2201,2,697,1966,2,1575,8,274970
5,1344,1,1024,1958,1,1344,6,144000
6,1252,2,1252,1959,1,1252,7,142000
7,2127,2,1223,1994,2,1223,5,271000
5,1558,1,913,1945,1,1048,6,140000
5,804,1,788,1940,1,804,4,119000
6,1440,2,1440,1981,2,1440,7,182900
5,1838,2,732,2005,2,734,7,192140
6,958,2,958,1976,2,958,5,143750
4,968,1,656,1927,2,968,5,64500
6,1792,2,936,2000,2,962,8,186500
5,1126,2,1126,1977,2,1126,5,160000
6,1537,2,1319,1962,1,1537,7,174000
4,864,2,864,1971,1,864,5,120500
8,1932,3,1932,2008,2,1932,7,394617
6,1236,2,912,1957,1,1236,6,149700
7,1725,2,539,1979,2,1040,6,197000
6,2555,2,588,1922,2,1423,11,191000
6,848,2,848,2004,1,848,3,149300
10,2007,3,1017,2008,2,1026,10,310000
6,952,1,952,1916,1,952,4,121000
7,1422,2,1422,2004,2,1422,7,179600
6,913,1,814,1966,1,913,6,129000
5,1188,1,1188,1962,1,1188,6,157900
8,2090,2,1220,1995,2,1220,8,240000
4,1346,1,560,1910,1,796,6,112000
5,630,0,630,1970,1,630,3,92000
5,1792,0,896,1974,2,896,8,136000
8,1578,3,1573,2008,2,1578,7,287090
5,1072,2,547,2005,1,1072,5,145000
5,1140,0,1140,2006,1,1140,6,84500
7,1221,2,1221,2004,2,1221,6,185000
6,1647,2,953,1999,2,953,7,175000
6,2073,2,1542,1978,2,2073,7,210000
7,2340,1,1152,1941,2,1188,9,266500
5,1078,1,1078,1950,1,1078,5,142125
5,1256,1,1256,1965,1,1256,6,147500
